Semestre;Ano;Codigo;Disciplina;Tipo;CH;Pre-requisito;Ementa;Topicos
3;2º Ano;BD1;Banco de Dados I — Modelagem e SQL;Computacao;80;APP;Fundamentos de bancos de dados relacionais aplicados à gestão rural. Modelo Entidade-Relacionamento, normalização e SQL essencial. O aluno projeta e implementa o banco de dados de uma propriedade real — talhões, culturas, insumos, colheitas e análises de solo.;Por que banco de dados? Limitações da planilha na gestão rural | Modelo Entidade-Relacionamento — talhões, culturas, insumos | Normalização: 1FN, 2FN e 3FN com exemplos agronômicos | DDL: CREATE TABLE, ALTER, DROP no PostgreSQL | DML: INSERT, UPDATE, DELETE com dados de campo reais | SELECT, WHERE, ORDER BY, GROUP BY e funções de agregação | Projeto: banco de dados de uma propriedade real do entorno
3;2º Ano;REC;Redes de Computadores — Conectividade Rural e IoT;Computacao;80;FCO;Fundamentos de redes com foco em cenários rurais — onde conectividade é crítica e cara. Modelo OSI, TCP/IP, Wi-Fi, redes mesh, LoRa, LoRaWAN e MQTT. VPN para acesso remoto a fazendas. Segurança básica em redes de sensores.;Modelo OSI e TCP/IP — as camadas que fazem os dados chegarem | Endereçamento IP, máscaras de sub-rede e CIDR | Wi-Fi no campo: alcance, interferência e antenas direcionais | LoRa e LoRaWAN — comunicação de longo alcance sem internet | Redes mesh — cobertura em propriedades de grande porte | MQTT — protocolo publish/subscribe para sensores rurais | VPN e SSH — acesso remoto seguro a equipamentos no campo
4;2º Ano;MEK;Mecanização Agrícola e Máquinas de Precisão;Agronomia;60;—;Tratores, plantadoras, pulverizadores e colhedoras com foco em automação e dados. Piloto automático RTK-GPS. Monitores de operação. Telemetria de máquinas. Taxa variável (VRA). Análise de dados de máquinas para redução de custo e aumento de precisão.;Tratores — potência, tração e consumo por operação | Plantadoras — sensores de semente e precisão de distribuição | Pulverizadores — pontas, pressão e aplicação à taxa variável | Colhedoras — monitor de produtividade e mapa de perdas | Piloto automático RTK-GPS — precisão centimétrica | Telemetria: John Deere Operations Center e CNH Fleet | Exportar e analisar dados de máquinas com Python
4;2º Ano;GAL;Gestão Ambiental e Legislação Rural;Agronomia;60;—;Legislação ambiental do produtor rural. Código Florestal, APP, Reserva Legal e CAR. Boas Práticas Agrícolas (BPA). Certificações ambientais. Mercado de carbono. Sistemas digitais de conformidade e rastreabilidade ambiental.;Código Florestal Brasileiro — obrigações e penalidades | APP e Reserva Legal — delimitação com QGIS e CAR | Cadastro Ambiental Rural (CAR) — como regularizar | BPA: Boas Práticas Agrícolas — caderneta digital | Certificações: Rainforest Alliance e GlobalG.A.P. | Mercado de carbono — créditos e protocolos | Sistemas de conformidade ambiental com banco de dados
4;2º Ano;BD2;Banco de Dados II — SQL Avançado e NoSQL;Computacao;60;BD1;Aprofundamento em PostgreSQL: JOINs complexos, VIEWs, índices, stored procedures e triggers. Introdução a bancos não-relacionais. MongoDB para dados de sensores. InfluxDB para séries temporais de IoT. Integração completa com Python.;JOINs: INNER, LEFT, RIGHT, FULL e self-join com dados rurais | VIEWs e VIEWs materializadas — consultas reutilizáveis | Índices: B-Tree e GiST — performance em tabelas grandes | Stored procedures e triggers no PostgreSQL | NoSQL: quando o relacional não basta — séries temporais e docs | MongoDB — coleções e queries para dados de sensores IoT | InfluxDB — banco de séries temporais para estações meteorológicas | Projeto: pipeline sensor → InfluxDB → consulta com Python
4;2º Ano;EMB;Sistemas Embarcados para o Campo;Integracao;80;CEL, APP, REC;Raspberry Pi e ESP32 como plataformas de monitoramento agrícola. Python e MicroPython para sensores de solo, clima e luminosidade. Atuadores para automação de irrigação. Projeto de estação agrometeorológica conectada com envio de dados via MQTT.;Raspberry Pi 5 — Linux embarcado para aplicações de campo | ESP32 — microcontrolador Wi-Fi/Bluetooth de baixo custo | MicroPython no ESP32 — programar o campo sem IDE pesada | Sensores: DHT22, DS18B20, capacitivo de solo, pluviômetro | Leitura analógica e digital — ADC e GPIO na prática | Relé e válvula solenóide — automação de irrigação por zona | MQTT com ESP32: publicar dados de sensores no broker | Projeto: estação agrometeorológica completa com Raspberry Pi
4;2º Ano;API1;APIs com Python — Dados Geoespaciais e Climáticos;Computacao;60;PY2, BD1;Consumo profissional de APIs externas com Python para dados agrícolas. Autenticação OAuth2 e API Key. Sentinel Hub para NDVI por talhão. Open-Meteo e NASA POWER para séries climáticas. IBGE e EMBRAPA para dados de produção e pesquisa.;HTTP: GET/POST, status codes, headers e autenticação | API Key e OAuth2 — como autenticar em serviços externos | Requests: sessões, timeouts e tratamento de erros | Sentinel Hub API: baixar NDVI e EVI por polígono de talhão | Open-Meteo: séries históricas de temperatura, chuva e ET₀ | NASA POWER: dados climáticos de longo prazo para qualquer ponto | IBGE Sidra: produção agrícola municipal por cultura e ano | Projeto: pipeline NDVI + clima automatizado para lavoura real
4;2º Ano;ECD1;Estatística e Ciência de Dados para o Agro I;Computacao;80;PY2, MAT;Base estatística sólida com foco na variabilidade do agro, relações entre variáveis e validação estatística para tomada de decisão. Estatística descritiva, correlação (Pearson e Spearman), probabilidade, inferência e preparação de dados. Todos os exercícios usam datasets reais: clima, solo, produtividade e rebanhos.;Pensamento em dados no agro: tipos de problemas e pipeline de dados | Estatística descritiva: média, mediana, variância, desvio padrão | Visualização: histogramas, boxplots e scatter plots com Seaborn | Correlação de Pearson: interpretação, sensibilidade a outliers | Correlação de Spearman: ranking, robustez e quando usar | Matrizes de correlação e heatmaps — variáveis que se relacionam | Significância estatística: p-value e armadilhas (correlação espúria) | Probabilidade aplicada: distribuição normal e binomial | Inferência: amostragem, intervalo de confiança e testes de hipótese | Projeto: identificar fatores que influenciam produtividade com matriz de correlação
5;3º Ano;SPA;Sistemas de Produção Animal com Tecnologia;Agronomia;80;FIT;Bovinocultura de corte e leite, suinocultura e avicultura com ênfase em tecnologia. Nutrição, sanidade, bem-estar e rastreabilidade. Brincos eletrônicos, monitoramento de cio, pesagem automatizada, SISBOV e gestão zootécnica digital.;Sistemas de produção: confinamento, semi-intensivo e pastagem | Nutrição animal: exigências por categoria e formulação de dietas | Sanidade: vacinação, controle de endo/ectoparasitas | SISBOV — rastreabilidade bovina obrigatória | Brincos eletrônicos e pedômetros — monitoramento de saúde | Monitoramento de cio e reprodução com sensores IoT | Software de gestão: BoiTata, Pecege e integração com BD
5;3º Ano;GES;Gestão do Agronegócio e Custos de Produção;Agronomia;60;PY2;Gestão econômica e financeira da propriedade rural. Custo de produção por cultura, ponto de equilíbrio, comercialização e mercado futuro. ERP agrícola. KPIs da fazenda e dashboard de gestão para tomada de decisão.;Custo de produção: fixo, variável e total por saca/hectare | Ponto de equilíbrio e margem de contribuição por cultura | Estratégias de comercialização e mercado futuro | ERP agrícola: Aegro, Agristream e Siagri | KPIs da fazenda: custo/ha, produtividade e lucratividade | Dashboard de gestão com Python (Streamlit) e dados reais | Análise de viabilidade de uma nova tecnologia na propriedade
5;3º Ano;ECD2;Estatística e Ciência de Dados para o Agro II;Computacao;80;ECD1;Transformar relações estatísticas em modelos preditivos e decisões operacionais no agro. EDA avançada com correlação, regressão linear e logística, árvores de decisão, Random Forest, séries temporais, clusterização. O aluno sai capaz de construir modelos preditivos com dados reais e justificar cada decisão estatisticamente.;EDA avançada: matrizes de correlação, multicolinearidade e seleção de variáveis | Regressão linear: interpretação de coeficientes e relação com correlação | Regressão logística: classificação binária para risco no campo | Árvores de decisão e Random Forest — robustez e interpretabilidade | Séries temporais: sazonalidade, tendência e autocorrelação no agro | Clusterização com K-means: zonas de manejo por padrão de solo | Dados do mundo real: IoT, sensores e imagens na agricultura de precisão | Projeto: modelo preditivo com EDA, matriz de correlação e justificativa estatística
5;3º Ano;GEO;Geoprocessamento com Python;Integracao;80;API1, BD2;Processamento geoespacial programático com Python. GDAL, rasterio, geopandas e shapely. Leitura e manipulação de rasters e shapefiles. Cálculo de NDVI por talhão. QGIS para visualização. Integração com Sentinel Hub API para análise multitemporal.;Fundamentos geoespaciais: projeções, CRS e datum | Geopandas — shapefiles de talhões, municípios e biomas | Shapely — operações geométricas: área, buffer, intersecção | GDAL e rasterio — leitura e manipulação de imagens de satélite | Cálculo de NDVI, EVI e NDWI por polígono com rasterio | QGIS — visualização e edição manual de talhões | Análise multitemporal: NDVI ao longo da safra por talhão | Projeto: mapa de vigor de lavoura com série Sentinel-2
5;3º Ano;IOT;Comunicação IoT — LoRa, LoRaWAN e MQTT;Integracao;80;EMB, REC;Protocolos de comunicação IoT para cenários rurais sem cobertura celular. LoRa e LoRaWAN para grandes propriedades. MQTT com broker local e em nuvem. The Things Network. Plataformas IoT: ThingsBoard e Node-RED. Projeto de rede de sensores em fazenda real.;LoRa — modulação, alcance e parâmetros de configuração | LoRaWAN — arquitetura: end device, gateway e network server | The Things Network (TTN) — cadastrar gateway e dispositivos | MQTT avançado: QoS, retenção e tópicos hierárquicos | ThingsBoard: dashboard, regras e alertas para sensores rurais | Node-RED: fluxo visual de dados — sensor → banco → alerta | Consumo de energia: bateria e solar para nós remotos | Projeto: rede LoRaWAN de monitoramento de solo em fazenda
6;3º Ano;ECO;Ecologia Agrícola e Sistemas Integrados;Agronomia;60;FIT, FTP, SOL;Sistemas sustentáveis: ILPF, plantio direto e biologia do solo. Bioinsumos, controle biológico e serviços ecossistêmicos. Mudanças climáticas e adaptação da agricultura do Cerrado. Integração com ferramentas digitais de rastreabilidade ambiental.;ILPF — Integração Lavoura-Pecuária-Floresta no Cerrado | Biologia do solo: micorriza, rizóbio e fauna edáfica | Bioinsumos: inoculantes, Trichoderma e Bacillus | Controle biológico: Cotesia, Trichogramma e Baculovirus | Mudanças climáticas: cenários IPCC para o Cerrado até 2050 | Adaptação: janelas de semeadura, cultivares e irrigação | Rastreabilidade ambiental: carbono, água e biodiversidade
6;3º Ano;EXT;Extensão Rural e Transferência de Tecnologia;Agronomia;60;GES;O técnico como agente de transformação. Metodologias de ATER, dias de campo e unidades demonstrativas. Comunicação com produtores de diferentes perfis. Tecnologia social para pequenos agricultores. Empreendedorismo e mercado AgTech.;ATER — Assistência Técnica e Extensão Rural pública | Dias de campo e unidades demonstrativas — como organizar | Linguagem simples para tecnologia complexa — técnicas | WhatsApp, YouTube e redes sociais como ferramentas de ATER | Tecnologia social: soluções de baixo custo para o pequeno produtor | Ecossistema AgTech Brasil: startups, aceleradoras e financiamento | Pitch: apresentar solução tecnológica ao produtor rural
6;3º Ano;ESW;Engenharia de Software Full-Stack para o Agro;Computacao;100;BD2, API1;Desenvolvimento de software profissional completo — backend e frontend — para sistemas agrícolas. FastAPI para APIs REST, autenticação JWT, Docker e CI/CD. React para interfaces modernas. Mapas interativos com Leaflet. Deploy em nuvem. O aluno entrega um sistema web funcional, documentado e em produção.;Arquitetura de software: monolito vs. microsserviços no agro | FastAPI: rotas, parâmetros, validação com Pydantic | Autenticação JWT — proteger endpoints de dados da fazenda | Integração FastAPI ↔ PostgreSQL com SQLAlchemy | Docker: containerizar a aplicação agrícola | CI/CD com GitHub Actions — deploy automático | React essencial: componentes, estado e consumo de APIs | Leaflet.js: mapa interativo de talhões com camadas de NDVI | Deploy full-stack: API no Railway + frontend na Vercel | Projeto: sistema web completo para a propriedade parceira
6;3º Ano;IA3;IA Avançada e Visão Computacional para o Agro;Computacao;80;ECD2, GEO;Capstone da trilha de IA. Deep learning, redes neurais convolucionais e visão computacional aplicados ao agro. XGBoost e SHAP para explicabilidade. OpenCV e YOLO v8 para detecção de pragas, doenças e plantas daninhas em imagens de campo e drone. Análise de ortomosaicos. IA generativa para diagnóstico agronômico. O aluno chega com base estatística e modelos clássicos dominados — agora avança para deep learning e visão.;XGBoost: gradient boosting para previsão de safra com dados tabulares | SHAP values — explicar qualquer modelo em linguagem agronômica | Redes neurais: perceptron, backpropagation e arquiteturas básicas | CNNs: redes convolucionais para classificação de imagens de campo | OpenCV: pré-processamento e segmentação de imagens agrícolas | YOLO v8: detecção de pragas, doenças e plantas daninhas em tempo real | Criação e anotação de dataset agrícola com Roboflow | Análise de ortomosaico de drone: classificação por pixel e zona | LLMs + visão: GPT-4o Vision para diagnóstico agronômico por foto | Deploy de modelos: exportar para edge (Raspberry Pi) e nuvem | Projeto: sistema de identificação visual de pragas com modelo treinado em dados de Goiás
6;3º Ano;TCC;Projeto Integrador Final — Sistema Completo;Extensao;120;Todos os semestres anteriores;Desenvolvimento e implantação de sistema completo em parceria com produtor, cooperativa ou órgão público. O projeto integra obrigatoriamente: hardware (sensor ou drone), backend (API + banco de dados) e frontend (dashboard). Defesa pública com avaliação de impacto agronômico e técnico.;Definição do problema com o parceiro — agronômico primeiro | Arquitetura completa: sensor → edge → nuvem → dashboard | Desenvolvimento em sprints — Scrum com o parceiro como PO | Implantação física: sensores instalados na propriedade real | Testes em campo e iteração com o produtor | Análise de impacto: produtividade, custo e sustentabilidade | Defesa pública: apresentação técnica e agronômica para banca
